Name,Card Code,Collections,Albums (from Collections),Rarity,Energy,Power,Ability Title,Ability (Override)
Sphynx,NFE007,Felines,Nature,Rare,2,1,Selective Breeding,"<indent=1em>:return:</indent><indent=2em>If played next to The Sphinx, gain <nobr>+4 :shield:</nobr>.</indent>"
Skeleton,SAN016,Anatomy,Science,Fusion,4,3,Good Bones,"<indent=1em>:play:</indent><indent=2em>If played between two Dinosaurs cards, your Science cards gain <nobr>+2 :attack:</nobr> until played.</indent>"
Hansel and Gretel,CLI014,Literature,Culture,Common,3,3,Keeping Sweet,<indent=1em>:return:</indent><indent=2em><nobr>Burn :burn: (-1)</nobr> your opponent's remaining cards for 2 turns.</indent>
Silver,SPT004,The Periodic Table,Science,Rare,4,7,Conductive,"<indent=1em>:play:</indent><indent=2em>Three random cards in your hand gain <nobr>+1 :attack:</nobr> permanently, and this card loses <nobr>-3 :attack:</nobr> permanently.</indent>"
William Shakespeare,CHE004,Heroes of Culture,Culture,Hero,0,80,To Thine Own Self,"If you did not <nobr>Attack :attack:</nobr> last turn, restore <nobr>+15 :health:</nobr>. <nobr>[3 :charge:]</nobr>"
Ada Lovelace,SST002,STEM Stars,Science,Epic,6,5,Bride of Science,"<indent=1em>:play:</indent><indent=2em>For every 5 <nobr>Hero :attack:</nobr> your opponent has, gain <nobr>+1 :shield:</nobr>.</indent>"
Mummies,HAE014,Ancient Egypt,History,Common,2,0,Preservation,<indent=1em>:draw:</indent><indent=2em>Your cards with 0 Base <nobr>:attack:</nobr> gain <nobr>+1 :attack:</nobr> until played.</indent>
Scarab,HAE015,Ancient Egypt,History,Common,1,1,Live Forever,"<indent=1em>:play:</indent><indent=2em> If played next to Ankh, gain <nobr>+3 :shield:</nobr>.</indent>"
Tiberius,HRE004,The Roman Empire,History,Rare,4,3,Auribus teneo lupum,"<indent=1em>:play:</indent><indent=2em>If you have played Tiberius this game, your The Roman Empire cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
The Pantheon,HRE015,The Roman Empire,History,Common,4,2,M. Agrippa Hoc Fecit,"<indent=1em>:return:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> for more than your opponent this turn, gain <nobr>+1 Hero :attack:</nobr>.</indent>"
Zebra Shark,NSH008,Sharks,Nature,Common,5,4,Night Hunting,"<indent=1em>:turnstart:</indent><indent=5.85em>Every 3rd Turn of the game, gain <nobr>+1 Hero :attack:</nobr></indent>"
Uranus,SSS009,The Solar System,Science,Common,3,5,Ice Giant,<indent=1em>:return:</indent><indent=2em><nobr>Freeze :freeze:</nobr> two cards in either player's hand next turn.</indent>
Achilles,CGM005,Greek Mythology,Culture,Rare,6,5,Heel,"<indent=1em>:play:</indent><indent=2em> If you have 10 or less Hero :attack:, restore +5 :health:</indent>"
Hangaku Gozen,HFJ006,Feudal Japan,History,Rare,8,4,Uprising,"<indent=1em>:draw:</indent><indent=2em>For every Feudal Japan card in your hand, this card costs <nobr>-2 :energy:</nobr> this turn.</indent>"
Katana,HFJ008,Feudal Japan,History,Common,3,0,Strike,<indent=1em>:return:</indent><indent=2em>This card gains <nobr>+4 :attack:</nobr> permanently.</indent>
Miranda,SSS015,The Solar System,Science,Common,5,2,Seasonal Extremes,"<indent=1em>:draw:</indent><indent=2em>If it's before Turn 5, <nobr>Burn :burn: (-2)</nobr> a random opponent's card until played.</indent>"
Pentagram,CTO001,The Occult,Culture,Legendary,5,5,Circle of Power,"<indent=1em>:turnstart:</indent><indent=2em>Gain <nobr>+3 :shield:</nobr>. For every time you have played Pentagram this game, gain an additional <nobr>:shield:</nobr>.</indent>"
Mount Vesuvius,NNM003,Natural Monuments,Nature,Epic,5,3,Ashfall,"<indent=1em>:return:</indent><indent=2em>If played next to Mount Etna, both cards gain <nobr>+1 :attack:</nobr> permanently.</indent>"
Jane Austen,CLI001,Literature,Culture,Legendary,4,3,Brace Yourself,"<indent=1em>:play:</indent><indent=2em>If you have not <nobr>Attacked :attack:</nobr> this game, gain <nobr>+9 :shield:</nobr>.</indent>"
Tarzan of the Apes,CLI013,Literature,Culture,Common,4,3,Lord of the Manor,"<indent=1em>:play:</indent><indent=2em>If played next to any Nature card, this card gains <nobr>+4 :attack:</nobr> this turn.</indent>"
White Cliffs of Dover,NNM008,Natural Monuments,Nature,Common,6,4,Chalk It Up,"<indent=1em>:play:</indent><indent=2em>If you are below 50% <nobr>:health:</nobr>, gain <nobr>+3 :shield:</nobr>.</indent>"
The Pyramids,HAE016,Ancient Egypt,History,Fusion,3,3,Pyramid Power,"<indent=1em>:return:</indent><indent=2em>If your deck contains any The Occult card, your History cards gain <nobr>+3 :attack:</nobr> next turn.</indent>"
Femur,SAN015,Anatomy,Science,Common,4,7,Efemural,"<indent=1em>:play:</indent><indent=2em>If you <nobr>Attack :attack:</nobr> this turn, lose <nobr>-5 :health:</nobr>.</indent>"
Goblin Shark,NSH003,Sharks,Nature,Epic,6,5,Extended Jaw,<indent=1em>:draw:</indent><indent=2em>2 random Rare+ cards in your opponent's hand lose <nobr>-2 :attack:</nobr> until played</indent>
Coffin Texts,HAE010,Ancient Egypt,History,Common,5,0,Keeping Track,<indent=1em>:play:</indent><indent=2em> Your Ancient Egypt cards in-hand gain <nobr>+1 :attack:</nobr> this turn.</indent>
Jolly Roger,HAP016,Age of Piracy,History,Fusion,8,8,Black Flag,"<indent=1em>:play:</indent><indent=2em>If you are at or below <nobr>15 :health:</nobr>, a random non-History card in your hand  gains <nobr>+10 :attack:</nobr> permanently.</indent>"
The Roman Army,HRE016,The Roman Empire,History,Fusion,4,1,Legio aeterna victrix,"<indent=1em>:draw:</indent><indent=2em>For every Common card in your hand, this card gains <nobr>+2 :attack:</nobr> this turn.</indent>"
Friday the 13th,CTO008,The Occult,Culture,Common,6,3,Bad Omen,"<indent=1em>:draw:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> last turn, steal <nobr>1 :charge:</nobr> from your opponent.</indent>"
Archimedes,SST006,STEM Stars,Science,Rare,6,4,Euerka Moment,<indent=1em>:play:</indent><indent=2em>Your STEM Stars cards in hand gain <nobr>+2 :attack:</nobr> this turn.</indent>
Jane Eyre,CLI007,Literature,Culture,Rare,4,3,Private Consciousness,"<indent=1em>:draw:</indent><indent=2em>If you have less than <nobr>30 :health:</nobr>, gain <nobr>+3 :shield:</nobr>.</indent>"
Bratwurst,CFD004,Food and Drink,Culture,Rare,4,3,Wurst Case Scenario,"<indent=1em>:draw:</indent><indent=2em>If your opponent has <nobr>16+ Hero :attack:</nobr>, reduce it by -6.</indent>"
Ramen,CFD006,Food and Drink,Culture,Rare,5,4,Spice Packet,<indent=1em>:play:</indent><indent=2em><nobr>Burn :burn: (-1)</nobr> a random card in each player's hand for 2 turns.</indent>
Valley of the Kings,HAE006,Ancient Egypt,History,Rare,8,0,East and West,"<indent=1em>:return:</indent><indent=2em>If played on the left, gain <nobr>+1 Hero :attack:</nobr> permanently. If played on the right, gain <nobr>+1 :ept:</nobr> permanently.</indent>"
Iron,SPT009,The Periodic Table,Science,Common,6,5,A New Age,<indent=1em>:draw:</indent><indent=2em>A random Rare card costs <nobr>+1 :energy:</nobr> permanently and this card gains <nobr>+1 :attack:</nobr> permanently.</indent>
Mac ‘n’ Cheese,CFD007,Food and Drink,Culture,Rare,5,3,True Comfort,"<indent=1em>:play:</indent><indent=2em>If your opponent has <nobr>20+ Hero :attack:</nobr>, gain <nobr>+5 :shield:</nobr>.</indent>"
Neon,SPT011,The Periodic Table,Science,Common,7,2,Emission Spectrum,<indent=1em>:return:</indent><indent=2em>A random card of each Rarity in your deck gains <nobr>+1 :attack:</nobr> permanently.</indent>
Charles Darwin,SST016,STEM Stars,Science,Fusion,5,4,Adaptive Evolution,"<indent=1em>:play:</indent><indent=2em>If your deck contains 4 or more Nature cards, your Science cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
The Moon,SSS005,The Solar System,Science,Rare,6,4,Far Side,"<indent=1em>:play:</indent><indent=2em>If you are at or below <nobr>25 :health:</nobr>, gain <nobr>+10 Hero :attack:</nobr>.</indent>"
Giganotosaurus,NDI015,Dinosaurs,Nature,Common,6,4,Giant Appetite,"<indent=1em>:play:</indent><indent=2em>The opposite card loses <nobr>-2 :attack:</nobr> this turn, and this card gains <nobr>+2 :attack:</nobr> this turn.</indent>"
Mako Shark,NSH009,Sharks,Nature,Common,3,3,Equal Tail,<indent=1em>:return:</indent><indent=2em>Both players gain <nobr>+1 :energy:</nobr>.</indent>
Winchester Mystery House,CTO007,The Occult,Culture,Rare,5,2,Dead Ends,<indent=1em>:draw:</indent><indent=2em>Your opponent's cards in hand cost <nobr>+1 :energy:</nobr> this turn.</indent>
Epic of Gilgamesh,CLI015,Literature,Culture,Common,3,2,Beholdest Him,"<indent=1em>:play:</indent><indent=2em>If played adjacent to no other card, your opponent loses <nobr>-6 Hero :attack:</nobr>.</indent>"
Athame,CTO005,The Occult,Culture,Rare,4,3,Ritual Strike,<indent=1em>:play:</indent><indent=2em>Your The Occult cards gain <nobr>+2 :attack:</nobr> this turn.</indent>
Hand of Glory,CTO011,The Occult,Culture,Common,4,3,Sinister Candle,"<indent=1em>:play:</indent><indent=2em>If played on the left, your opponent loses <nobr>-3 Hero :attack:</nobr>.</indent>"
Halley’s Comet,SSS008,The Solar System,Science,Common,7,5,Dirty Snowball,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> this turn, <nobr>Freeze :freeze:</nobr> a random opponent's card next turn.</indent>"
Grimoire,CTO016,The Occult,Culture,Fusion,4,3,Living Ink,"<indent=1em>:play:</indent><indent=2em>If your deck contains 3 or more Nature cards, your The Occult cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Mount Kilimanjaro,NNM001,Natural Monuments,Nature,Legendary,8,8,That Which Defeats,<indent=1em>:return:</indent><indent=2em>This card gains <nobr>+8 :attack:</nobr> and costs <nobr>+4 :energy:</nobr> permanently.</indent>
The Sphinx,HAE004,Ancient Egypt,History,Rare,3,2,Nosey,"<indent=1em>:play:</indent><indent=2em>If your opponent is below <nobr>20 :health:</nobr>, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Giant’s Causeway,NNM004,Natural Monuments,Nature,Rare,7,5,Stepping Stones,"<indent=1em>:play:</indent><indent=2em>If you did not <nobr>attack :attack:</nobr> this turn, gain an additional <nobr>+1 Hero :attack:</nobr> every turn.</indent>"
Plateosaurus,NDI013,Dinosaurs,Nature,Common,6,5,Broad Spectrum,"<indent=1em>:play:</indent><indent=2em>If your opponent has <nobr>15+ Hero :attack:</nobr>, gain <nobr>+8 :shield:</nobr>.</indent>"
Marcus Aurelius,HRE002,The Roman Empire,History,Epic,6,6,Dum spiro spero,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr>, and you did not, gain <nobr>+1 :ept:</nobr> and <nobr>+2 Hero :attack:</nobr> permanently.</indent>"
Bananas,CFD014,Food and Drink,Culture,Common,4,2,Peel,<indent=1em>:return:</indent><indent=2em>Your Gorilla card costs <nobr>-3 :energy:</nobr> next turn.</indent>
Bobcat,NFE008,Felines,Nature,Common,4,3,Territorial Boundaries,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+1 :shield:</nobr>.</indent>
Adam’s Apple,SAN012,Anatomy,Science,Common,3,3,Prominence,"<indent=1em>:play:</indent><indent=2em>If played next to Larynx, lose <nobr>-2 :health:</nobr>.</indent>"
Imhotep,HAE005,Ancient Egypt,History,Rare,1,2,Better With Time,<indent=1em>:return:</indent><indent=2em>This card gains <nobr>+1 :attack:</nobr> and costs <nobr>+1 :energy:</nobr> permanently.</indent>
Heart,SAN001,Anatomy,Science,Legendary,3,0,Skip a Beat,"<indent=1em>:play:</indent><indent=2em>Lose <nobr>-6 :health:</nobr> and, for every Science card you play this turn, this card gains <nobr>+2 :attack:</nobr> permanently.</indent>"
Diplodocus,NDI009,Dinosaurs,Nature,Common,6,2,Big-Boned,<indent=1em>:draw:</indent><indent=2em>This card gains <nobr>+3 :attack:</nobr> permanently.</indent>
Angel Shark,NSH011,Sharks,Nature,Common,1,1,Tiny Hunter,<indent=1em>:return:</indent><indent=2em>All cards that cost 3 or less <nobr>:energy:</nobr> cost <nobr>+1 :energy:</nobr> next turn.</indent>
Shuriken,HFJ009,Feudal Japan,History,Common,2,2,Expendable,"<indent=1em>:draw:</indent><indent=2em>If you have played this card before, Reset this card.</indent>"
Ankylosaurus,NDI011,Dinosaurs,Nature,Common,7,6,Gone Clubbin',"<indent=1em>:play:</indent><indent=2em>If your opponent has any <nobr>:shield:</nobr>, they lose <nobr>-4 :health:</nobr>.</indent>"
Sayyida Al Hurra,HAP008,Age of Piracy,History,Common,4,3,Split Control,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> this turn, restore <nobr>+5 :health:</nobr>. If they did not, lose <nobr>-5 :health:</nobr>.</indent>"
Sappho,CLI006,Literature,Culture,Rare,2,1,The Poetess,<indent=1em>:return:</indent><indent=2em>Restore <nobr>+3 :health:</nobr>.</indent>
Uranium,SPT007,The Periodic Table,Science,Rare,5,8,Decay,"<indent=1em>:play:</indent><indent=2em>For every Rare card played by either player this turn, this card loses <nobr>-1 :attack:</nobr> this turn.</indent>"
Teeth,SAN014,Anatomy,Science,Common,3,3,Chompers,"<indent=1em>:play:</indent><indent=2em>If played next to Esophagus, this card gains <nobr>+2 :attack:</nobr> this turn.</indent>"
Hatshepsut,HAE003,Ancient Egypt,History,Epic,6,5,Prosperity,<indent=1em>:play:</indent><indent=2em> Gain <nobr>+5 :shield:</nobr>.</indent>
Brachiosaurus,NDI010,Dinosaurs,Nature,Common,3,5,Big Cow,"<indent=1em>:draw:</indent><indent=2em>For every time you have played Brachiosaurus, restore <nobr>+1 :health:</nobr>.</indent>"
Nickel,SPT012,The Periodic Table,Science,Common,0,3,And Diming,"<indent=1em>:draw:</indent><indent=2em>For every Common card in your hand, this card costs <nobr>+1 :energy:</nobr> this turn.</indent>"
Eye,SAN003,Anatomy,Science,Epic,5,4,20/20,"<indent=1em>:return:</indent><indent=2em>For every Anatomy card you play this turn, the card opposite costs <nobr>+1 :energy:</nobr> permanently.</indent>"
Megaraptor,NDI005,Dinosaurs,Nature,Rare,6,5,Clawsome,<indent=1em>:play:</indent><indent=2em>Your Velociraptor and Acheroraptor cards gain <nobr>+2 :attack:</nobr> this turn.</indent>
Muramasa,HFJ011,Feudal Japan,History,Common,5,3,Wicked Katana,"<indent=1em>:play:</indent><indent=2em>If played next to Katana, gain <nobr>+2 Hero :attack:</nobr>.</indent>"
Avicenna,SST005,STEM Stars,Science,Rare,5,4,Canon of Medicine,<indent=1em>:return:</indent><indent=2em>Your cards with HP abilities cost <nobr>-1 :energy:</nobr> until played.</indent>
American Shorthair,NFE014,Felines,Nature,Common,3,2,Intermeowtional,"<indent=1em>:play:</indent><indent=2em>If played next to Norwegian Forest Cat, gain <nobr>+4 Hero :attack:</nobr>.</indent>"
John Dee,SST008,STEM Stars,Science,Common,2,2,Occult Scholar,"<indent=1em>:play:</indent><indent=2em>If played next to Crystal Ball, gain <nobr>+4 Hero :attack:</nobr>.</indent>"
"Pluto, Dwarf Planet",SSS010,The Solar System,Science,Common,4,3,Beyond Neptune,"<indent=1em>:play:</indent><indent=2em>If you have played Neptune, reduce it's cost by <nobr>-3 :energy:</nobr> until played.</indent>"
T-Rex,NHE001,Heroes of Nature,Nature,Hero,0,90,Bone Crusher,"Your cards in hand gain <nobr>+4 :attack:</nobr> until played, and you lose <nobr>-30 :health:</nobr>. <nobr>[2 :charge:]</nobr>"
Stegosaurus,NDI003,Dinosaurs,Nature,Epic,6,5,Tail Whip,<indent=1em>:return:</indent><indent=2em>Your opponent's remaining cards lose <nobr>-2 :attack:</nobr> for 2 turns.</indent>
Battle of Sekigahara,HFJ007,Feudal Japan,History,Rare,8,0,Power Vacuum,"<indent=1em>:play:</indent><indent=2em>If you are below 50% <nobr>:health:</nobr>, Steal up to <nobr>-8 Hero :attack:</nobr> from your opponent.</indent>"
Mochi,CFD011,Food and Drink,Culture,Common,5,4,Kagami,"<indent=1em>:play:</indent><indent=2em>If played next to Samurai, both cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
Iguazu Falls,NNM012,Natural Monuments,Nature,Common,6,4,Big Water,<indent=1em>:return:</indent><indent=2em>Restore <nobr>+3 :health:</nobr>.</indent>
Anne Bonny,HAP002,Age of Piracy,History,Epic,8,6,Partners In Plunder,<indent=1em>:play:</indent><indent=2em><nobr>Force :attack:</nobr> your opponent to Attack this turn.</indent>
Potatoes,CFD012,Food and Drink,Culture,Common,6,5,Overboiled,"<indent=1em>:play:</indent><indent=2em>If your opponent has <nobr>5 :shield:</nobr> or more, they lose <nobr>-5 :health:</nobr>.</indent>"
Pinocchio,CLI011,Literature,Culture,Common,2,1,Strings Attached,"<indent=1em>:play:</indent><indent=2em>If you did not <nobr>Attack :attack:</nobr> last turn, restore <nobr>+5 :health:</nobr>. If you did <nobr>Attack :attack:</nobr> last turn, lose <nobr>-5 :health:</nobr>.</indent>"
Humerus,SAN013,Anatomy,Science,Common,2,4,Funny Bones,"<indent=1em>:return:</indent><indent=2em>If you were <nobr>Attacked :attack:</nobr> this turn, lose <nobr>-1 :health:</nobr>.</indent>"
Skin,SAN007,Anatomy,Science,Rare,4,3,Thick Skin,"<indent=1em>:play:</indent><indent=2em>For every time your opponent has <nobr>Attacked :attack:</nobr> this game, restore <nobr>+2 :health:</nobr>.</indent>"
Zinc,SPT015,The Periodic Table,Science,Common,3,1,Trace Element,"<indent=1em>:return:</indent><indent=2em>If your opponent's deck contains any Nature card, they lose <nobr>-2 :energy:</nobr>.</indent>"
Mount Etna,NNM002,Natural Monuments,Nature,Epic,5,3,Eruption,"<indent=1em>:play:</indent><indent=2em>If played next to Mount Vesuvius, both cards gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Basking Shark,NSH002,Sharks,Nature,Epic,8,6,Slow Mover,<indent=1em>:turnstart:</indent><indent=2em>A random opponent's card in hand with 3 or less Base <nobr>:energy:</nobr> <nobr>Burns :burn: (-1)</nobr> for 2 turns.</indent>
Ocelot,NFE011,Felines,Nature,Common,4,3,Revolver,<indent=1em>:play:</indent><indent=2em>Your Felines cards in hand that cost 3 or less <nobr>:energy:</nobr> gain <nobr>+1 :attack:</nobr> this turn.</indent>
Alan Turing,SST007,STEM Stars,Science,Rare,5,4,Enigma Break,"<indent=1em>:play:</indent><indent=2em>If it's after Turn 6, your opponent loses <nobr>-12 Hero :attack:</nobr>.</indent>"
"Titan, Moon of Saturn",SSS013,The Solar System,Science,Common,7,5,Rocky Core,"<indent=1em>:play:</indent><indent=2em>If you have <nobr>70+ :health:</nobr>, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Aphrodite,CGM009,Greek Mythology,Culture,Common,6,4,True Love Waits,"<indent=1em>:play:</indent><indent=2em>If it's after Turn 5, your Greek Mythology cards gain +1 :attack: until played.</indent>"
Marie Laveau,CTO003,The Occult,Culture,Epic,8,6,Queen's Blessing,"<indent=1em>:draw:</indent><indent=2em>For every Common The Occult card you have played this game, restore <nobr>+1 :health:</nobr>.</indent>"
Cougar,NFE010,Felines,Nature,Common,5,6,,
Spiny Dogfish,NSH007,Sharks,Nature,Rare,7,5,Defensive Pierce,"<indent=1em>:play:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> last turn, they lose <nobr>-5 :health:</nobr>.</indent>"
Medusa,CGM012,Greek Mythology,Culture,Common,5,3,Stone Gaze,<indent=1em>:play:</indent><indent=2em>The card opposite loses -2 :attack: this turn.</indent>
Chlorine,SPT010,The Periodic Table,Science,Common,5,4,Alchemy,<indent=1em>:return:</indent><indent=2em>Reset 1 of your opponent's remaining cards in hand.</indent>
Doubloon,HAP014,Age of Piracy,History,Common,4,0,Booty,"<indent=1em>:play:</indent><indent=2em>If played next to any Age of Piracy card, gain <nobr>+1 :charge:</nobr>.</indent>"
Daemonologie,CTO015,The Occult,Culture,Common,3,2,Black Books,"<indent=1em>:play:</indent><indent=2em>If played next to Grimoire, restore <nobr>+3 :health:</nobr>.</indent>"
Velociraptor,NDI016,Dinosaurs,Nature,Fusion,6,4,Clever Girl,<indent=1em>:play:</indent><indent=2em>Your cards with 7 or more Base <nobr>:energy:</nobr> gain <nobr>+4 :attack:</nobr> this turn.</indent>
Carl Sagan,SST004,STEM Stars,Science,Rare,3,2,Cosmic Perspective,"<indent=1em>:play:</indent><indent=2em>If played next to Venus, your STEM Stars cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Date Masamune,HFJ003,Feudal Japan,History,Epic,7,4,One Vision,"<indent=1em>:return:</indent><indent=2em>If played on the left, the card opposite costs <nobr>+4 :energy:</nobr> until played.</indent>"
K2,NNM006,Natural Monuments,Nature,Rare,7,8,Savage Mountain,"<indent=1em>:return:</indent><indent=2em>If you did not <nobr>attack :attack:</nobr> this turn, this card gains <nobr>+3 :attack:</nobr> permanently.</indent>"
Hands,SAN005,Anatomy,Science,Rare,4,2,Hands-on,<indent=1em>:return:</indent><indent=2em>1 non-Anatomy card in your hand gains <nobr>+5 :attack:</nobr> until played.</indent>
Luxor Temple,HAE012,Ancient Egypt,History,Common,4,2,Sanctuary,<indent=1em>:draw:</indent><indent=2em>Gain <nobr>+1 :charge:</nobr>.</indent>
Colossi of Memnon,HAE013,Ancient Egypt,History,Common,3,0,Sitting Pretty,"<indent=1em>:turnstart:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> last turn, gain <nobr>+1 :ept:</nobr> this turn.</indent>"
